Daily_Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Productivity_Hours,Number_of_App_Opens,Notifications_Received,Night_Usage_Times,Age,Number_of_Apps_Installed,Weekly_Avg_Usage_Hours,Addiction_Level
7.7,5.4,3.6,2.3,109,191,5,16,12,5.9,Medium
4.9,4.5,1.6,2.2,122,295,13,24,20,4.1,Medium
4.6,2.1,2.4,1.1,46,259,10,39,52,55.9,Medium
1.0,7.0,4.1,1.5,51,205,7,54,65,76.4,Low
9.3,6.4,2.3,3.6,169,80,7,36,19,54.2,Medium
7.8,5.3,1.8,2.7,26,257,0,62,69,84.2,Low
1.2,6.8,2.5,3.1,189,155,6,46,26,4.3,Medium
4.5,6.9,4.1,1.8,111,115,5,58,7,37.3,Medium
13.7,5.7,1.7,2.5,31,272,7,50,58,24.5,Medium
4.0,6.7,0.9,1.0,45,79,18,18,18,45.3,Medium
2.6,5.6,3.6,2.8,84,202,19,49,40,8.2,Medium
7.6,5.4,4.1,1.7,166,77,7,43,86,95.5,Medium
14.8,4.9,0.5,1.8,164,61,13,14,86,23.1,High
4.0,6.0,1.2,2.6,93,294,17,56,71,92.3,Medium
10.2,1.3,0.7,3.7,70,18,15,50,14,43.2,Medium
11.5,7.0,1.7,0.3,16,260,8,48,53,98.6,Medium
3.9,7.0,2.3,3.3,172,193,14,61,69,55.9,Medium
11.1,0.2,3.7,1.2,77,188,9,33,95,93.2,Medium
5.8,6.6,3.3,1.8,80,207,15,19,61,1.5,Medium
9.7,1.0,3.1,0.1,94,137,3,28,31,75.1,Medium
9.7,2.7,1.8,1.2,14,29,19,63,79,90.4,Medium
8.3,5.9,4.2,2.0,100,74,12,38,9,14.8,Medium
1.8,1.3,2.4,0.2,180,191,4,44,75,10.5,Low
12.6,6.5,4.9,2.0,24,250,6,57,87,43.0,Medium
5.2,6.7,3.2,3.7,43,33,8,28,61,93.4,Medium
3.2,4.1,0.6,0.4,64,92,7,53,97,54.7,Low
1.1,0.1,3.4,3.1,70,194,15,23,19,53.2,Low
9.1,2.3,1.6,1.6,69,108,5,59,80,15.0,Low
10.3,4.9,3.4,2.6,183,71,15,57,34,1.1,Medium
0.7,7.8,0.3,1.0,128,295,5,38,24,81.2,Medium
7.9,5.1,0.9,0.6,168,31,13,59,41,9.7,Medium
3.8,2.1,4.3,0.6,156,221,0,19,7,63.8,Medium
9.9,5.1,1.1,0.3,159,135,8,34,77,91.5,Medium
3.0,4.3,4.2,0.7,134,51,12,53,45,21.7,Medium
10.5,6.2,1.4,2.7,163,107,18,60,43,66.9,High
6.1,0.9,3.2,3.5,61,40,16,40,30,8.8,Medium
14.1,6.1,3.5,3.3,82,167,10,61,6,60.8,Medium
2.5,4.3,2.6,2.7,198,121,7,31,27,17.2,Medium
5.4,7.7,1.5,0.4,33,256,4,27,27,73.9,Medium
2.1,2.7,1.1,1.2,19,131,9,28,89,30.8,Low
13.9,5.1,0.2,1.2,16,282,6,27,20,46.9,Medium
13.2,7.5,1.5,1.0,105,216,9,30,13,60.3,High
4.2,0.8,3.3,2.1,160,119,3,19,17,18.0,Low
10.1,7.5,4.7,2.1,88,287,8,49,32,74.4,High
12.3,5.5,4.4,1.4,129,65,13,49,31,31.0,High
8.6,0.5,3.8,1.4,107,66,1,64,55,66.6,Low
8.2,2.4,3.9,3.3,28,123,8,40,68,16.7,Medium
4.0,5.7,3.3,3.2,153,207,0,52,56,69.1,Low
1.8,0.5,1.3,1.2,142,188,9,47,85,13.7,Low
13.5,4.7,4.5,3.7,114,228,9,37,42,43.1,High
13.6,2.8,3.4,3.8,82,286,19,42,69,25.5,High
9.7,5.0,2.8,1.3,105,25,2,55,22,75.1,Medium
5.4,0.4,0.6,1.4,150,70,5,23,67,26.9,Low
5.6,7.0,2.2,2.0,146,63,5,28,55,88.3,Medium
11.0,7.8,2.3,3.8,166,177,1,26,13,89.3,Medium
13.5,7.8,4.3,3.5,132,35,17,20,17,20.4,High
13.4,6.0,2.7,0.4,62,74,1,50,44,61.8,Medium
11.8,1.0,1.9,1.6,80,109,11,53,59,9.7,Medium
9.8,6.1,4.9,2.2,154,83,4,59,83,39.8,Medium
1.7,0.2,0.6,2.0,40,201,19,23,47,71.6,Medium
2.8,0.2,2.1,0.8,177,180,6,43,48,66.3,Low
13.5,2.6,0.2,3.4,168,282,15,36,72,62.8,High
9.3,3.9,3.7,2.7,26,196,19,50,37,29.0,Medium
0.6,6.2,4.6,3.4,131,32,0,29,28,38.4,Low
2.0,5.5,1.4,3.4,84,190,0,26,40,11.2,Low
10.1,3.6,4.3,3.0,193,117,16,43,14,72.2,High
0.6,2.2,1.5,1.8,104,171,0,17,24,50.9,Low
2.8,8.0,4.6,2.4,188,215,19,55,79,71.2,High
8.5,3.4,3.8,0.6,100,87,12,54,16,25.6,Medium
10.5,3.6,4.0,2.7,165,25,8,63,66,33.1,Medium
10.0,1.3,0.1,0.7,177,105,14,46,22,34.1,Medium
3.8,6.4,4.8,2.8,168,156,2,45,98,3.5,Medium
10.8,5.5,3.6,0.9,152,11,13,49,67,34.8,Medium
3.9,1.8,1.5,0.5,22,19,10,16,88,80.5,Low
5.2,0.7,4.1,0.7,42,134,11,29,29,89.8,Medium
11.3,5.4,1.4,0.0,199,90,12,27,16,52.3,High
9.9,5.2,4.4,2.9,155,149,12,19,25,46.1,High
12.8,2.2,0.6,2.9,113,159,0,36,29,4.1,Medium
10.0,7.6,3.5,2.1,127,297,9,43,15,88.0,High
8.7,1.2,2.7,0.6,148,138,2,37,68,2.3,Medium
1.9,3.5,0.5,0.3,191,248,3,63,77,94.5,Low
5.8,7.5,1.2,0.1,153,67,15,33,54,49.4,Medium
4.3,3.4,0.1,0.7,108,207,7,42,66,34.9,Medium
4.0,5.1,2.3,3.6,144,220,15,54,93,92.5,Medium
14.6,3.2,1.5,1.0,148,54,16,21,53,3.4,High
6.2,2.2,3.0,1.4,85,106,18,23,18,58.6,Medium
13.4,7.9,1.5,0.4,91,288,14,64,5,55.3,High
9.7,3.3,1.5,0.9,146,32,15,39,85,22.7,Medium
12.0,7.2,3.7,2.1,65,53,14,17,29,43.5,High
7.8,1.8,0.2,2.4,50,36,1,31,63,65.6,Low
8.9,1.7,4.5,1.0,36,291,10,16,76,73.0,Medium
7.6,0.2,4.3,0.2,19,106,0,34,73,1.1,Low
3.3,5.2,3.3,1.6,48,45,14,20,9,93.7,Medium
11.0,2.9,3.0,0.9,149,118,18,40,23,17.3,High
4.6,6.9,4.5,0.9,173,64,3,27,27,24.1,Medium
0.9,3.8,0.9,3.8,58,201,10,57,13,27.1,Low
9.9,7.7,0.4,2.5,48,228,4,33,98,4.7,Medium
3.1,1.5,1.2,2.2,102,194,2,19,54,13.2,Low
14.1,6.9,4.0,1.7,9,78,12,31,20,98.6,High
14.3,6.2,0.2,1.7,113,139,9,62,37,32.2,Medium
13.8,6.2,2.9,2.2,31,64,10,25,6,12.4,Medium
5.9,6.8,5.0,2.8,120,106,17,50,18,11.6,Medium
0.7,6.1,4.3,2.8,91,96,1,48,5,72.2,Low
14.0,5.0,2.6,0.7,108,128,6,61,94,85.6,Medium
6.7,1.0,0.3,2.0,127,217,8,45,62,26.4,Medium
14.5,0.3,4.2,1.6,83,163,9,22,93,3.1,Medium
14.5,7.4,3.0,3.5,47,44,17,51,20,23.1,High
12.9,4.9,0.6,2.5,101,88,6,44,83,6.6,Medium
4.8,6.4,0.5,2.1,35,76,6,42,94,11.2,Low
6.1,3.9,4.5,0.5,103,43,2,55,51,43.7,Low
12.8,0.9,3.3,2.4,21,106,11,45,48,23.8,Medium
5.1,1.0,4.1,0.5,87,178,6,61,84,52.1,Low
3.0,5.5,4.4,1.3,114,178,16,18,18,26.1,Medium
8.6,3.4,2.9,0.6,186,160,0,60,97,94.1,Medium
14.1,1.6,2.6,2.8,194,80,4,34,28,90.7,Medium
10.6,3.9,2.2,0.8,36,12,15,57,59,57.1,Medium
8.8,0.5,1.6,1.6,172,41,14,18,19,36.1,Medium
1.9,4.7,2.2,3.6,145,296,1,36,87,38.7,Low
9.4,2.2,3.9,0.8,39,91,8,14,76,41.8,Medium
14.9,6.4,3.0,2.0,137,52,6,49,38,73.0,Medium
2.5,2.5,4.5,1.7,33,114,3,31,6,45.7,Low
8.0,3.6,2.2,0.1,74,10,19,45,31,85.8,Medium
13.2,0.1,3.0,3.2,157,70,17,60,78,94.5,Medium
11.2,0.6,3.2,0.3,99,279,3,55,91,34.3,Medium
10.6,3.1,3.0,1.9,26,189,12,55,76,56.5,Medium
10.7,3.8,3.5,2.2,198,233,0,41,96,10.4,Medium
5.7,4.8,1.2,2.5,177,15,2,28,27,20.8,Medium
4.8,2.3,2.6,2.8,73,112,15,21,72,41.9,Medium
12.2,5.6,0.5,1.0,93,19,3,46,18,21.4,Medium
12.2,6.9,1.9,0.0,76,80,15,31,67,87.8,High
13.1,6.2,2.4,2.9,133,99,18,29,97,16.7,High
13.7,0.3,3.3,2.1,176,235,0,56,69,46.1,Medium
7.9,3.8,4.8,3.3,91,167,4,55,72,61.0,Medium
7.8,0.8,3.0,3.3,100,237,18,38,67,69.5,Medium
12.1,1.9,3.7,3.4,79,135,10,60,94,38.9,Medium
9.9,7.9,2.5,1.9,171,218,12,47,85,87.0,High
10.7,1.1,3.2,1.3,58,106,19,34,91,57.3,Medium
12.0,4.0,0.4,3.2,92,83,4,43,68,44.5,Medium
13.4,4.9,1.3,1.8,161,124,3,21,36,7.7,Medium
5.4,5.6,1.8,0.7,58,200,3,22,83,47.0,Medium
5.9,4.5,2.4,3.4,20,179,3,49,17,82.3,Low
1.9,0.1,0.2,3.5,103,213,3,17,70,61.8,Low
8.9,2.6,0.7,1.9,24,65,19,52,23,83.4,Medium
1.0,4.1,1.4,0.3,50,217,17,58,28,49.9,Medium
7.3,0.7,4.9,1.6,199,50,17,45,92,12.7,Medium
8.4,2.8,1.7,3.2,197,41,15,47,15,2.4,Medium
4.7,0.3,2.4,3.6,131,24,8,48,63,31.0,Low
9.1,0.6,1.0,0.8,62,71,17,28,90,70.1,Medium
0.9,3.2,3.1,0.3,185,164,1,51,19,79.2,Low
1.0,1.1,1.4,3.5,115,293,3,51,14,30.3,Low
12.4,4.5,1.0,1.6,133,218,11,23,45,50.1,High
5.7,5.5,2.6,2.2,85,196,6,32,31,42.7,Medium
2.3,6.4,0.0,3.9,198,139,14,51,64,41.6,Medium
8.1,1.6,0.0,0.3,161,136,6,30,77,23.9,Medium
11.7,1.3,1.1,2.6,88,123,16,14,56,14.5,Medium
3.6,0.8,0.2,0.3,74,208,15,29,32,20.5,Medium
9.5,5.1,0.5,1.5,12,22,18,64,69,6.5,Medium
1.7,5.7,1.7,3.2,33,280,8,62,21,20.6,Low
1.2,0.3,4.0,1.7,116,98,13,30,99,1.9,Low
8.2,7.5,2.9,4.0,183,224,16,58,48,63.1,High
8.3,0.4,2.6,2.2,165,287,4,17,14,32.3,Medium
9.7,4.3,1.5,1.3,135,212,1,27,67,97.3,Medium
11.0,5.7,4.7,0.9,192,83,19,19,97,20.2,High
14.6,7.0,2.0,1.4,167,34,15,59,86,35.2,High
8.0,5.7,0.4,1.5,112,110,13,29,51,36.4,Medium
5.2,6.4,3.1,0.3,113,185,13,63,42,1.8,Medium
12.0,2.7,0.6,1.5,24,126,0,59,74,84.1,Low
4.4,6.5,1.7,1.9,77,175,2,54,80,4.2,Low
6.9,0.6,2.5,2.9,171,50,6,50,57,94.1,Low
1.6,7.2,4.4,2.6,8,129,14,60,82,89.3,Low
0.9,4.4,2.5,2.8,23,106,18,60,48,54.0,Low
14.5,6.5,3.5,0.0,106,154,19,23,78,54.8,High
12.6,3.6,5.0,0.9,177,225,1,56,58,65.7,Medium
10.6,5.1,0.7,2.6,175,238,18,21,24,39.3,High
6.4,4.2,1.4,1.9,145,139,8,18,83,65.1,Medium
3.0,5.9,2.0,0.0,145,146,18,57,35,5.4,Medium
2.8,0.7,2.1,3.2,192,282,4,12,11,6.4,Medium
4.1,0.5,2.1,3.1,189,126,17,60,62,46.3,Medium
8.5,2.0,4.5,2.2,90,103,15,47,14,55.4,Medium
10.9,1.3,3.6,0.3,56,177,3,32,14,88.9,Medium
10.1,7.0,3.0,3.1,115,212,11,48,43,11.4,Medium
4.6,1.8,1.5,2.3,185,158,6,63,32,82.4,Low
14.3,7.8,4.1,3.1,113,192,13,35,34,21.8,High
11.2,2.7,4.8,3.0,90,161,11,36,41,40.0,Medium
8.5,1.5,4.1,3.2,47,83,2,18,71,32.3,Low
9.4,6.3,0.0,2.1,46,283,4,53,47,40.6,Medium
6.6,5.3,3.2,0.6,94,51,16,28,83,15.9,Medium
4.1,4.0,0.3,2.7,119,221,9,40,89,50.9,Medium
5.7,4.4,1.3,2.5,30,110,9,41,56,80.4,Low
11.5,5.8,0.3,3.0,155,54,10,18,60,44.7,Medium
0.7,1.8,3.0,0.7,47,91,16,44,80,49.6,Low
2.2,8.0,3.4,0.8,81,26,4,18,72,85.0,Medium
1.2,7.8,0.6,3.6,160,82,12,35,13,70.9,Medium
1.1,5.2,1.9,3.0,141,23,9,22,96,49.6,Low
12.9,1.6,2.3,3.6,24,166,8,20,27,26.5,Medium
10.7,5.4,1.8,3.0,188,232,16,23,67,88.6,High
7.4,0.6,0.6,2.4,43,141,0,46,65,58.1,Low
1.9,0.2,2.1,2.6,183,56,3,15,44,22.9,Low
7.6,2.1,3.8,3.6,16,116,3,47,48,27.6,Low
7.4,3.7,0.4,2.3,187,117,17,39,90,80.5,Medium
3.0,6.9,0.4,2.5,15,274,8,24,28,5.4,Medium
6.8,5.8,1.8,0.6,158,214,17,34,55,99.2,High
6.3,5.9,4.7,1.9,46,88,13,30,62,13.9,Medium
9.4,3.4,3.3,2.9,159,164,14,53,94,79.8,Medium
9.7,2.8,3.4,1.1,15,280,5,48,98,40.1,Medium
1.2,3.0,1.8,0.8,42,256,9,50,37,49.7,Low
5.9,7.9,3.0,1.3,102,28,14,35,20,88.2,Medium
9.6,0.3,0.1,1.0,175,35,3,27,26,41.9,Medium
7.8,6.9,3.2,0.9,23,226,17,44,61,54.2,Medium
12.9,4.6,4.6,1.7,196,163,17,23,66,5.9,High
10.1,3.5,3.1,3.6,138,163,16,45,86,1.2,Medium
2.9,5.8,4.4,2.0,178,183,11,18,75,25.2,Medium
1.5,3.9,3.6,0.8,120,101,6,22,94,68.4,Medium
9.8,7.0,0.6,0.3,117,190,15,42,76,13.0,High
0.9,7.2,4.5,2.8,174,140,10,40,74,12.3,Medium
9.0,3.4,0.3,1.5,69,284,13,24,34,41.7,Medium
14.1,2.2,2.7,3.3,103,282,2,42,27,65.1,Medium
8.8,4.7,0.7,2.6,76,85,18,13,36,71.5,Medium
6.1,7.3,0.1,3.2,191,186,17,50,90,18.7,Medium
9.8,1.7,2.1,1.1,56,193,9,26,61,8.9,Medium
7.1,5.0,1.5,2.8,122,140,5,22,13,94.1,Medium
8.4,5.1,2.4,1.1,179,58,12,45,35,26.8,Medium
14.2,5.9,2.9,3.8,124,64,9,50,75,85.5,Medium
6.1,1.1,0.2,2.5,11,163,17,15,13,86.5,Medium
14.4,5.7,0.6,1.3,15,209,19,22,17,77.5,High
13.6,7.3,2.8,1.1,107,127,15,40,62,17.7,High
3.3,1.4,1.7,0.8,65,272,5,13,7,82.4,Medium
1.5,1.9,3.6,2.8,72,55,12,27,39,77.2,Low
2.0,7.8,3.3,0.9,157,198,3,50,25,60.1,Medium
0.8,1.4,4.2,2.4,144,138,13,24,68,34.4,Medium
1.9,6.8,3.5,1.1,158,58,0,48,99,27.0,Low
10.4,3.9,2.1,2.6,106,34,19,28,56,13.1,Medium
1.5,2.0,3.4,3.3,114,275,4,32,38,51.5,Low
5.1,7.0,1.4,3.1,144,127,7,55,39,58.9,Medium
12.8,3.6,1.5,3.0,175,153,11,30,19,36.6,High
0.8,4.1,3.9,0.8,55,209,1,18,10,48.1,Low
12.3,2.9,2.2,0.4,121,166,11,49,89,37.0,Medium
4.6,4.7,4.0,2.8,169,143,4,19,36,64.5,Medium
2.2,1.3,4.1,1.5,50,157,4,24,56,90.2,Low
10.6,3.1,4.3,1.7,57,80,12,48,87,17.2,Medium
9.6,7.8,4.6,0.1,92,242,8,13,32,38.8,High
13.2,2.1,2.2,1.0,125,163,9,52,99,14.9,Medium
11.2,5.3,1.6,0.1,17,99,0,22,89,62.9,Medium
12.2,2.6,2.9,3.5,93,208,2,35,68,73.2,Medium
4.6,6.2,1.9,1.0,129,170,17,17,83,93.3,High
3.1,1.0,3.0,2.2,122,35,11,37,82,28.6,Low
11.4,7.8,3.5,0.2,58,130,2,18,23,95.1,Medium
12.2,3.6,3.4,2.7,189,221,8,50,19,7.3,Medium
14.9,1.9,1.9,1.3,120,72,1,30,10,60.7,Medium
6.5,0.6,0.8,3.6,122,77,2,17,77,6.7,Low
5.9,1.4,2.2,3.6,8,262,13,54,88,89.5,Low
11.8,4.2,0.7,1.3,79,11,3,40,42,53.5,Medium
5.4,2.7,4.5,3.6,53,117,18,54,30,67.3,Medium
14.0,6.6,1.7,4.0,11,295,12,50,86,83.3,Medium
12.9,3.4,0.8,3.3,114,58,6,13,96,15.9,Medium
6.7,2.0,0.1,3.4,126,149,11,30,55,4.8,Medium
11.4,4.9,3.2,1.0,15,227,2,15,77,88.0,Medium
11.4,5.7,3.2,2.3,96,53,8,17,57,32.2,Medium
2.0,1.3,1.7,0.3,186,278,1,60,60,13.8,Low
13.6,1.3,0.4,0.4,177,87,8,48,63,47.4,Medium
7.8,0.3,2.0,4.0,27,225,11,39,74,60.2,Low
12.5,5.9,1.6,1.3,32,107,11,41,82,4.1,Medium
5.1,5.3,3.4,3.0,115,245,14,18,96,28.2,Medium
13.5,3.8,3.0,3.2,61,291,1,20,62,4.2,Medium
6.1,6.8,1.8,3.4,30,158,17,36,92,42.6,Medium
0.7,6.4,1.1,4.0,157,75,12,44,17,89.6,Low
13.6,4.7,4.9,1.0,58,243,13,12,47,98.3,High
1.8,6.9,2.3,0.2,33,96,4,62,80,64.1,Low
5.1,1.6,3.4,1.6,101,88,9,17,55,17.0,Medium
